title,release_year,country,listed_in,title_clean,vote_average,popularity
Dick Johnson Is Dead,2020,United States,Documentaries,dick johnson is dead,7.112,0.5826
Blood & Water,2021,South Africa,International TV Shows,blood & water,5.5,0.7032
Ganglands,2021,Unknown,Crime TV Shows,ganglands,0.0,0.5213
Midnight Mass,2021,Unknown,TV Dramas,midnight mass,4.233,0.1379
My Little Pony: A New Generation,2021,Unknown,Children & Family Movies,my little pony: a new generation,7.7,1.6906
Sankofa,1993,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",Dramas,sankofa,5.6,0.3652
The Starling,2021,United States,Comedies,the starling,6.926,1.0442
Bangkok Breaking,2021,Unknown,Crime TV Shows,bangkok breaking,6.822,1.866
Je Suis Karl,2021,"Germany, Czech Republic",Dramas,je suis karl,5.281,0.6101
Confessions of an Invisible Girl,2021,Unknown,Children & Family Movies,confessions of an invisible girl,6.649,0.9346
Dear White People,2021,United States,TV Comedies,dear white people,6.105,0.6597
Europe's Most Dangerous Man: Otto Skorzeny in Spain,2020,Unknown,Documentaries,europe's most dangerous man: otto skorzeny in spain,6.7,0.7446
Falsa identidad,2020,Mexico,Crime TV Shows,falsa identidad,4.3,0.2571
Intrusion,2021,Unknown,Thrillers,intrusion,5.942,1.3175
Jaguar,2021,Unknown,International TV Shows,jaguar,5.0,0.0585
Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,Unknown,Children & Family Movies,go! go! cory carson: chrissy takes the wheel,5.893,0.1863
Jeans,1998,India,Comedies,jeans,0.0,0.687
Minsara Kanavu,1997,Unknown,Comedies,minsara kanavu,6.7,0.6382
Grown Ups,2010,United States,Comedies,grown ups,6.396,11.9855
Dark Skies,2013,United States,Horror Movies,dark skies,6.331,2.8431
Paranoia,2013,"United States, India, France",Thrillers,paranoia,6.51,3.5241
Ankahi Kahaniya,2021,Unknown,Dramas,ankahi kahaniya,5.8,0.371
Sex Education,2020,United Kingdom,British TV Shows,sex education,6.5,0.9393
Squid Game,2021,Unknown,International TV Shows,squid game,8.418,3.9801
The Father Who Moves Mountains,2021,Unknown,Dramas,the father who moves mountains,5.8,0.6027
The Stronghold,2021,Unknown,Action & Adventure,the stronghold,7.365,2.3698
Angry Birds,2018,Finland,Kids' TV,angry birds,7.048,6.4001
Birth of the Dragon,2017,"China, Canada, United States",Action & Adventure,birth of the dragon,5.799,1.7316
Chhota Bheem,2021,India,Kids' TV,chhota bheem,6.3,0.1827
He-Man and the Masters of the Universe,2021,United States,Kids' TV,he-man and the masters of the universe,6.939,0.6835
Jaws,1975,United States,Action & Adventure,jaws,7.68,12.6598
Jaws 2,1978,United States,Dramas,jaws 2,6.036,3.7002
Jaws 3,1983,United States,Action & Adventure,jaws 3,4.47,4.0533
Jaws: The Revenge,1987,United States,Action & Adventure,jaws: the revenge,4.081,2.7181
My Heroes Were Cowboys,2021,Unknown,Documentaries,my heroes were cowboys,6.4,0.3404
Safe House,2012,"South Africa, United States, Japan",Action & Adventure,safe house,6.486,4.2769
Training Day,2001,United States,Dramas,training day,7.511,9.5025
Castle and Castle,2021,Nigeria,International TV Shows,castle and castle,7.684,81.8425
InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,Japan,Action & Adventure,inuyasha the movie 2: the castle beyond the looking glass,7.671,2.2318
InuYasha the Movie 3: Swords of an Honorable Ruler,2003,Japan,Action & Adventure,inuyasha the movie 3: swords of an honorable ruler,7.7,1.9886
InuYasha the Movie 4: Fire on the Mystic Island,2004,Japan,Action & Adventure,inuyasha the movie 4: fire on the mystic island,7.5,1.8616
