title,vote_average,popularity,title_clean
Dick Johnson Is Dead,7.112,0.5826,dick johnson is dead
Blood & Water,5.5,0.7032,blood & water
Ganglands,0.0,0.5213,ganglands
Midnight Mass,4.233,0.1379,midnight mass
My Little Pony: A New Generation,7.7,1.6906,my little pony: a new generation
Sankofa,5.6,0.3652,sankofa
The Starling,6.926,1.0442,the starling
Bangkok Breaking,6.822,1.866,bangkok breaking
Je Suis Karl,5.281,0.6101,je suis karl
Confessions of an Invisible Girl,6.649,0.9346,confessions of an invisible girl
Dear White People,6.105,0.6597,dear white people
Europe's Most Dangerous Man: Otto Skorzeny in Spain,6.7,0.7446,europe's most dangerous man: otto skorzeny in spain
Falsa identidad,4.3,0.2571,falsa identidad
Intrusion,5.942,1.3175,intrusion
Jaguar,5.0,0.0585,jaguar
Go! Go! Cory Carson: Chrissy Takes the Wheel,5.893,0.1863,go! go! cory carson: chrissy takes the wheel
Jeans,0.0,0.687,jeans
Minsara Kanavu,6.7,0.6382,minsara kanavu
Grown Ups,6.396,11.9855,grown ups
Dark Skies,6.331,2.8431,dark skies
Paranoia,6.51,3.5241,paranoia
Ankahi Kahaniya,5.8,0.371,ankahi kahaniya
Sex Education,6.5,0.9393,sex education
Squid Game,8.418,3.9801,squid game
The Father Who Moves Mountains,5.8,0.6027,the father who moves mountains
The Stronghold,7.365,2.3698,the stronghold
Angry Birds,7.048,6.4001,angry birds
Birth of the Dragon,5.799,1.7316,birth of the dragon
Chhota Bheem,6.3,0.1827,chhota bheem
He-Man and the Masters of the Universe,6.939,0.6835,he-man and the masters of the universe
Jaws,7.68,12.6598,jaws
Jaws 2,6.036,3.7002,jaws 2
Jaws 3,4.47,4.0533,jaws 3
Jaws: The Revenge,4.081,2.7181,jaws: the revenge
My Heroes Were Cowboys,6.4,0.3404,my heroes were cowboys
Safe House,6.486,4.2769,safe house
Training Day,7.511,9.5025,training day
Castle and Castle,7.684,81.8425,castle and castle
InuYasha the Movie 2: The Castle Beyond the Looking Glass,7.671,2.2318,inuyasha the movie 2: the castle beyond the looking glass
InuYasha the Movie 3: Swords of an Honorable Ruler,7.7,1.9886,inuyasha the movie 3: swords of an honorable ruler
InuYasha the Movie 4: Fire on the Mystic Island,7.5,1.8616,inuyasha the movie 4: fire on the mystic island
InuYasha the Movie: Affections Touching Across Time,7.536,2.1092,inuyasha the movie: affections touching across time
Nailed It,6.0,0.2067,nailed it
Naruto Shippuden the Movie: Blood Prison,7.253,5.7663,naruto shippuden the movie: blood prison
Naruto Shippûden the Movie: Bonds,7.33,5.4842,naruto shippûden the movie: bonds
Naruto Shippûden the Movie: The Will of Fire,7.384,5.8823,naruto shippûden the movie: the will of fire
Naruto Shippuden: The Movie,7.408,6.5687,naruto shippuden: the movie
Naruto Shippuden: The Movie: The Lost Tower,7.178,5.6433,naruto shippuden: the movie: the lost tower
Naruto the Movie 2: Legend of the Stone of Gelel,6.795,4.8734,naruto the movie 2: legend of the stone of gelel
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,7.122,5.4533,naruto the movie 3: guardians of the crescent moon kingdom
