title,popularity,release_year,vote_average
Dick Johnson Is Dead,0.5826,2020,7.112
Blood & Water,0.7032,2009,5.5
Ganglands,0.5213,2014,0.0
Midnight Mass,0.1379,2003,4.233
My Little Pony: A New Generation,1.6906,2021,7.7
Sankofa,0.3652,1993,5.6
The Starling,1.0442,2021,6.926
Bangkok Breaking,1.866,2024,6.822
Je Suis Karl,0.6101,2021,5.281
Confessions of an Invisible Girl,0.9346,2021,6.649
Dear White People,0.6597,2014,6.105
Europe's Most Dangerous Man: Otto Skorzeny in Spain,0.7446,2020,6.7
Falsa identidad,0.2571,2014,4.3
Intrusion,1.3175,2021,5.942
Jaguar,0.0585,1967,5.0
Go! Go! Cory Carson: Chrissy Takes the Wheel,0.1863,2021,5.893
Jeans,0.687,2001,0.0
Minsara Kanavu,0.6382,1997,6.7
Grown Ups,11.9855,2010,6.396
Dark Skies,2.8431,2013,6.331
Paranoia,3.5241,1970,6.51
Ankahi Kahaniya,0.371,2021,5.8
Sex Education,0.9393,2020,6.5
Squid Game,3.9801,2025,8.418
The Father Who Moves Mountains,0.6027,2021,5.8
The Stronghold,2.3698,2021,7.365
Angry Birds,6.4001,2019,7.048
Birth of the Dragon,1.7316,2017,5.799
Chhota Bheem,0.1827,2008,6.3
He-Man and the Masters of the Universe,0.6835,2017,6.939
Jaws,12.6598,1975,7.68
Jaws 2,3.7002,1978,6.036
Jaws 3,4.0533,1983,4.47
Jaws: The Revenge,2.7181,1987,4.081
My Heroes Were Cowboys,0.3404,2021,6.4
Safe House,4.2769,2012,6.486
Training Day,9.5025,2001,7.511
Castle and Castle,81.8425,2025,7.684
InuYasha the Movie 2: The Castle Beyond the Looking Glass,2.2318,2002,7.671
InuYasha the Movie 3: Swords of an Honorable Ruler,1.9886,2003,7.7
InuYasha the Movie 4: Fire on the Mystic Island,1.8616,2004,7.5
InuYasha the Movie: Affections Touching Across Time,2.1092,2001,7.536
Nailed It,0.2067,2017,6.0
Naruto Shippuden the Movie: Blood Prison,5.7663,2011,7.253
Naruto Shippûden the Movie: Bonds,5.4842,2008,7.33
Naruto Shippûden the Movie: The Will of Fire,5.8823,2009,7.384
Naruto Shippuden: The Movie,6.5687,2007,7.408
Naruto Shippuden: The Movie: The Lost Tower,5.6433,2010,7.178
Naruto the Movie 2: Legend of the Stone of Gelel,4.8734,2005,6.795
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,5.4533,2006,7.122
Naruto the Movie: Ninja Clash in the Land of Snow,5.3787,2004,7.299
Nightbooks,4.9081,2021,6.116
Saved by the Bell,0.0414,1950,0.0
Schumacher,3.4776,2021,7.274
A StoryBots Space Adventure,0.175,2021,2.0
King of Boys,0.3565,2018,6.4
You vs. Wild: Out Cold,0.1819,2021,5.7
Yowamushi Pedal,3.2543,2016,6.0
Little Singham - Black Shadow,0.0621,2021,10.0
Tughlaq Durbar,0.3062,2021,6.0
Firedrake the Silver Dragon,1.6923,2020,7.015
Kate,2.9518,2021,6.633
Lucifer,2.1361,2007,7.7
Omo Ghetto: the Saga,0.0801,2020,4.3
Prey,13.4602,2022,7.667
Blood Brothers: Malcolm X & Muhammad Ali,0.4593,2021,7.3
Mighty Raju,0.1555,2014,1.0
Paradise Hills,0.102,2007,0.0
The Women and the Murderer,0.6476,2021,6.192
Into the Night,2.5458,1985,6.5
JJ+E,1.2805,2021,5.771
Show Dogs,4.7527,2018,5.959
The Circle,4.1825,2017,5.524
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,0.2817,2018,7.683
Kid Cosmic,0.0168,,0.0
Octonauts: Above & Beyond,0.0,2021,0.0
On the Verge,0.0362,2020,0.0
Untold: Breaking Point,0.5452,2021,7.5
Shadow Parties,0.083,2021,10.0
Tayo the Little Bus,0.0286,2017,0.0
Angamaly Diaries,0.3511,2017,7.397
A Champion Heart,0.3578,2018,7.8
La casa de papel,1.8222,2020,7.442
Sharkdog,0.0286,,0.0
Worth,1.3892,2021,6.707
Afterlife of the Party,0.7466,2021,6.7
Anjaam,0.0747,1978,0.0
Bright Star,1.3124,2009,6.6
Dhanak,0.4387,2015,7.4
Final Account,0.8806,2021,7.4
Gurgaon,0.326,2017,5.1
Here and There,0.0286,2017,0.0
In the Cut,1.9275,2003,5.1
Pororo - The Little Penguin,0.5465,2013,5.4
Q-Force,0.3773,1988,4.0
Shikara,3.2612,2020,4.222
A Cinderella Story,5.7952,2004,6.6
An Unfinished Life,1.4536,2005,6.8
Barbie Big City Big Dreams,0.7457,2021,7.0
Blade Runner: The Final Cut,14.9627,1982,7.94
Chappie,8.7819,2015,6.785
Clear and Present Danger,4.0885,1994,6.641
Cliffhanger,4.9778,1993,6.517
Cold Mountain,3.5209,2003,6.938
Crocodile Dundee in Los Angeles,1.907,2001,5.217
Dear John,3.5453,2010,6.846
Do the Right Thing,3.0186,1989,7.769
"El patrón, radiografía de un crimen",0.2999,2014,7.6
Extraction,1.2398,2013,4.9
Freedom Writers,3.5211,2007,7.9
Green Lantern,5.7521,2011,5.176
House Party,4.0857,1990,6.404
House Party 2,0.5471,1991,5.3
House Party 3,0.867,1994,5.1
I Got the Hook Up,0.5939,1998,5.3
In Too Deep,1.2798,1999,6.391
Initial D,3.1046,2001,6.85
Janoskians: Untold and Untrue,0.1141,2015,5.1
Kid-E-Cats,0.2163,2022,6.0
Kuroko's Basketball,3.1054,2017,7.638
Labyrinth,6.5256,1986,7.279
Letters to Juliet,3.8852,2010,7.002
Level 16,1.4361,2018,6.759
Love Don't Cost a Thing,5.5089,2003,7.548
Love in a Puff,0.6497,2010,7.04
Mars Attacks!,6.1519,1996,6.414
Marshall,3.3959,2017,7.245
My Boss's Daughter,1.2489,2003,5.048
Mystery Men,2.6477,1999,5.829
Once Upon a Time in America,12.2777,1984,8.386
Open Season 2,3.4057,2008,5.871
Osmosis Jones,3.0071,2001,6.49
Poseidon,4.7954,2006,5.9
Rhyme & Reason,0.2466,1961,0.0
Same Kind of Different as Me,0.9114,2017,6.8
School of Rock,5.9752,2003,7.084
Snervous Tyler Oakley,0.1461,2015,5.067
Tears of the Sun,5.2188,2003,6.884
The Blue Lagoon,4.7209,1980,6.144
The Golden Child,2.8969,1986,5.936
The Guns of Navarone,2.6774,1961,7.304
The Interview,6.715,2014,6.19
The Nutty Professor,0.4565,2008,4.8
The Nutty Professor II: The Klumps,2.1606,2000,5.015
Welcome Home Roscoe Jenkins,1.8568,2008,5.992
In the Line of Fire,3.667,1993,6.965
Untold: Crime & Penalties,0.3357,2021,7.1
2 Alone in Paris,2.8722,2008,5.121
Bread Barbershop,0.367,2024,0.0
Thimmarusu,0.3929,2021,7.8
Wind River,6.5353,2017,7.432
C Kkompany,0.3352,2008,5.346
D.P.,0.2277,2004,0.0
Deadly Sins,1.9842,2021,7.7
EMI: Liya Hai To Chukana Padega,0.4078,2008,7.0
He's All That,2.7935,2021,6.471
Koi Aap Sa,0.1633,2005,7.2
Krishna Cottage,0.5018,2004,5.0
Kucch To Hai,0.3217,2003,4.2
Kyaa Kool Hai Hum,0.223,2005,4.868
Kyaa Kool Hain Hum 3,0.3103,2016,2.8
Kyaa Super Kool Hain Hum,0.3247,2012,4.8
Kyo Kii... Main Jhuth Nahin Bolta,0.3664,2001,5.081
"LSD: Love, Sex Aur Dhokha",0.5115,2010,6.156
Once Upon a Time in Mumbaai,0.5531,2010,6.672
Once Upon a Time in Mumbai Dobaara!,0.3168,2013,5.1
Ragini MMS,1.9138,2011,4.6
Ragini MMS 2,0.4577,2014,4.724
Rebellion,0.3032,1936,6.0
RIDE ON TIME,0.0678,2018,0.0
SAS: Rise of the Black Swan,2.0075,2021,5.8
Shootout at Lokhandwala,0.6783,2007,6.1
Shor In the City,0.425,2011,6.161
The Dirty Picture,3.1924,2011,6.2
EDENS ZERO,0.3386,2023,0.0
Family Reunion,0.5211,1981,8.0
"Bob Ross: Happy Accidents, Betrayal & Greed",0.8808,2021,6.736
Clickbait,0.1484,2019,4.5
Open Your Eyes,0.587,2006,5.333
Really Love,0.6404,2020,6.5
The November Man,3.2919,2014,6.106
The Old Ways,0.5819,2021,6.723
The River Runner,0.816,2021,6.2
The Water Man,1.2228,2020,6.1
Wheel of Fortune,1.3696,2021,7.2
Count Me In,0.3435,2021,6.9
Oggy Oggy,0.743,2013,7.1
Untold: Caitlyn Jenner,0.4747,2021,6.5
Boomika,0.5245,2021,5.4
The Witcher: Nightmare of the Wolf,1.6793,2021,7.431
Manifest,0.2409,2020,8.0
Everything Will Be Fine,0.1077,2009,4.875
Gunshot,0.1304,1996,7.0
Man in Love,1.598,2014,7.2
Sweet Girl,5.6177,2021,6.604
The Chair,0.0729,1963,6.0
The Loud House Movie,2.2516,2021,7.3
A Faraway Land,0.1573,2021,4.4
Like Crazy,1.3366,2011,6.4
Black Island,0.1493,1979,6.0
Bombay,1.6145,2017,0.0
Go! Go! Cory Carson,0.326,2020,4.75
Memories of a Murderer: The Nilsen Tapes,0.7027,2021,5.947
Nneka The Pretty Serpent,0.1762,2020,3.9
O Kadhal Kanmani,0.4956,2015,7.0
Out of my league,0.3976,2022,6.037
Pahuna,0.0286,1971,0.0
The Defeated,0.5477,1973,0.0
The Secret Diary of an Exchange Student,0.5214,2021,6.4
Untold: Deal With the Devil,1.2345,2021,6.857
Walk of Shame,2.2106,2014,5.964
Rascal Does Not Dream of Bunny Girl Senpai,2.32,2019,8.255
The Piano,6.7758,1993,7.377
Unroyal,3.531,2020,4.5
Winx Club,0.7859,2010,7.2
Beckett,1.2389,2021,6.2
Fast & Furious Spy Racers,19.1665,2023,7.004
Gone for Good,0.2939,1981,0.0
The Kingdom,0.8379,2024,10.0
Valeria,0.6697,2020,6.0
Lokillo: Nothing's the Same,0.0596,2021,7.1
Monster Hunter: Legends of the Guild,0.7393,2021,5.665
Brother Jekwu,0.207,2016,0.0
La diosa del asfalto,0.1882,2020,6.7
Misha and the Wolves,0.822,2021,6.9
The Kissing Booth 3,1.9523,2021,6.861
The Railway Man,1.105,2013,6.839
Gabby's Dollhouse,7.6447,2025,6.6
Untold: Malice at the Palace,0.612,2021,7.139
Quartet,0.7491,2012,6.488
Slay,0.2379,2021,6.0
Takizawa Kabuki ZERO 2020 The Movie,0.1992,2020,0.0
The Paper Tigers,0.3428,2020,6.771
Hit & Run,0.1721,2000,7.0
Navarasa,0.1306,2016,3.0
Quam's Money,0.1953,2020,3.8
The Swarm,1.3896,1978,5.008
Vivo,2.7236,2021,7.25
Chennai Express,2.2668,2013,6.512
City of God: 10 Years Later,0.7425,2013,6.8
Esperando la carroza,0.4908,1985,8.01
Lady Boss: The Jackie Collins Story,0.3476,2021,6.2
Tango Feroz,0.277,1993,6.25
'76,0.2169,2016,6.1
Aftermath,0.71,2014,4.768
Control Z,0.0797,2026,0.0
Heavy,0.7643,1995,6.6
Ije: The Journey,0.0992,2010,6.0
Office Girls,0.1712,1993,0.0
Pray Away,0.4763,2021,6.698
Shiny_Flakes: The Teenage Drug Lord,0.7702,2021,7.514
Two Fathers,0.0728,1944,7.0
You're My Destiny,0.3391,1987,6.0
30 Rock,0.0648,2020,10.0
44 Cats,0.0,2022,0.0
Beethoven,3.2738,1992,5.834
Beethoven's 2nd,1.3427,1993,5.5
Beowulf,4.4426,2007,5.906
Boyka: Undisputed,10.4802,2016,7.181
Catch Me If You Can,12.0975,2002,7.976
Cloudy with a Chance of Meatballs,5.6951,2009,6.655
Deep Blue Sea,5.03,1999,5.991
Ferris Bueller's Day Off,4.8627,1986,7.566
Five Feet Apart,5.4991,2019,8.221
Freedomland,4.4736,2006,5.234
Friday Night Lights,1.5574,2004,6.9
Good Luck Chuck,8.2609,2007,5.909
I missed you: Director's Cut,0.6794,2021,6.6
Inception,30.3895,2010,8.37
Magnolia,4.5931,1999,7.732
Major Payne,3.1627,1995,6.449
My Girl,7.5063,1991,7.407
My Girl 2,1.5993,1994,6.0
Open Season: Scared Silly,2.4065,2015,5.947
Pineapple Express,4.1576,2008,6.642
Planet 51,4.2487,2009,5.885
Poms,1.0117,2019,6.538
Seabiscuit,2.6915,2003,7.057
Space Cowboys,2.9489,2000,6.394
Team America: World Police,3.7653,2004,6.735
The Edge of Seventeen,3.3264,2016,7.159
The Haunting in Connecticut 2: Ghosts of Georgia,1.1123,2013,5.8
The Last Boy Scout,4.1008,1991,6.829
The Lincoln Lawyer,4.2185,2011,7.206
The Losers,3.4351,2010,6.249
The Machinist,3.9769,2004,7.522
The Net,3.4686,1995,6.0
The Original Kings of Comedy,0.881,2000,6.409
Valentine's Day,9.8785,2010,5.92
Charmed,1.3209,2010,4.5
The Lost Café,0.0528,2018,5.0
The Vault,0.1826,2001,2.0
Eyes of a Thief,0.1116,2014,4.9
Glow Up,0.1029,2024,0.0
I'm Glad I Did,0.0919,2020,7.6
Myth & Mogul: John DeLorean,3.8545,2005,6.418
Outer Banks,0.0327,2008,10.0
Pomegranates and Myrrh,0.2933,2009,5.2
Rurouni Kenshin: The Beginning,3.7764,2021,7.655
The Last Mercenary,1.5851,2021,6.377
Flower Girl,0.5914,2025,9.0
Resort to Love,1.6993,2021,7.126
Bartkowiak,0.4235,2021,6.0
Fantastic Fungi,1.3892,2019,7.24
The Flash,15.0554,2023,6.62
All American,0.2327,2024,10.0
Department,0.3468,2012,6.3
Hostage House,0.7567,2021,6.469
Mighty Express,0.2804,2022,4.7
Mimi,0.237,1935,5.2
The Operative,1.015,2019,5.835
The Walking Dead,0.3869,1965,3.265
Wynonna Earp,0.5941,2024,6.586
Django Unchained,13.5873,2012,8.187
A Second Chance:  Rivals!,0.6311,2019,6.941
African America,0.5458,2021,2.0
Bankrolled,0.3423,2021,5.5
Blood Red Sky,3.2702,2021,6.801
Kingdom: Ashin of the North,2.8454,2021,7.1
Sky Rojo,3.2702,2021,6.801
The Last Letter From Your Lover,2.0,2021,7.332
The Movies That Made Us,0.0286,1973,0.0
9to5: The Story of a Movement,0.1238,2020,7.7
Chhota Bheem - Dinosaur World,0.0534,2025,0.0
Chhota Bheem - Neeli Pahaadi,0.1386,2013,10.0
Chhota Bheem & Ganesh,0.1827,2008,6.3
Chhota Bheem & Krishna: Mayanagari,0.1827,2008,6.3
Chhota Bheem & Krishna: Pataliputra- City of the Dead,0.1827,2008,6.3
Chhota Bheem And The Broken Amulet,0.0757,2013,0.0
Chhota Bheem And The Crown of Valhalla,0.0814,2013,10.0
Chhota Bheem and the Incan Adventure,0.0879,,0.0
Chhota Bheem and The ShiNobi Secret,0.0811,2013,0.0
Chhota Bheem Aur Hanuman,0.076,2013,6.2
Chhota Bheem aur Krishna,0.2726,2009,10.0
Chhota Bheem in African Safari,0.0239,,0.0
Chhota Bheem Ka Roosi Romanch,0.0499,2020,0.0
Chhota Bheem: Bheem vs Aliens,0.1511,2010,5.5
Chhota Bheem: Dholakpur to Kathmandu,0.1001,2012,7.0
Chhota Bheem: Dus Pe Dus,0.0338,,0.0
Chhota Bheem: Journey to Petra,0.264,2011,0.0
Chhota Bheem: Master of Shaolin,0.114,2011,8.0
Chhota Bheem: The Rise of Kirmada,0.3743,2012,4.7
Chicago Med,3.6442,1969,6.673
Cousins,0.3501,2021,6.7
Wannabe Courageous,0.5954,2019,4.7
Words Bubble Up Like Soda Pop,1.6106,2021,7.346
Sanitation Day,0.128,2021,4.7
Sexy Beasts,0.0143,2010,0.0
Trollhunters: Rise of the Titans,2.4008,2021,7.554
Milkwater,0.1813,2021,4.143
The Tambour of Retribution,0.1893,2021,5.9
Cosmic Sin,1.7957,2021,4.0
2 Weeks in Lagos,0.2142,2019,2.0
Deep,1.5484,2017,5.98
Explained,0.1608,,0.0
Fear Street Part 3: 1666,2.0289,2021,7.1
Johnny Test,0.1949,2021,3.6
La ley de Herodes,1.2131,1999,7.9
Naomi Osaka,0.0311,2025,0.0
The Beguiled,1.6261,1971,7.0
The Book of Henry,1.9211,2017,7.492
The Twilight Saga: Breaking Dawn: Part 1,8.638,2011,6.192
The Twilight Saga: Breaking Dawn: Part 2,9.483,2012,6.459
The Twilight Saga: Eclipse,7.2455,2010,6.197
The Twilight Saga: New Moon,9.2273,2009,5.992
Twilight,14.7887,2008,6.282
A Perfect Fit,0.4355,2021,7.236
Cheech & Chong's Still Smokin,0.0969,2006,4.5
Emicida: AmarElo - Live in São Paulo,0.0596,2021,7.9
Her Private Life,0.0938,1971,1.333
Lift Like a Girl,0.0264,2020,5.75
My Amanda,0.5004,2021,5.7
Never Have I Ever,0.0533,2020,5.0
Surf's Up,5.3758,2007,6.484
The Unknown Saint,0.4326,2020,6.371
This Changes Everything,1.2189,2015,6.0
A Classic Horror Story,2.1769,2021,5.8
Gunpowder Milkshake,4.7098,2021,6.274
Heist,3.7605,2001,6.321
Private Network: Who Killed Manuel Buendía?,0.2479,2021,7.3
The Guide to the Perfect Family,0.4881,2021,6.49
American Woman,3.411,2018,6.329
Day of Destiny,0.2345,2021,4.667
Born to Play,0.155,2020,1.0
American Ultra,3.9748,2015,6.091
The Stand-Up,0.0409,,0.0
The Tour,0.0453,1986,0.0
Atypical,2.4504,2012,5.5
Fear Street Part 2: 1978,3.7639,2021,7.2
Finding Hubby,0.1649,2020,2.7
How I Became a Superhero,1.4154,2020,6.085
Last Summer,0.1904,2013,6.2
Lee Su-geun: The Sense Coach,0.3857,2021,2.5
Lethal Love,0.4956,2021,4.7
Ratchet and Clank,0.1528,2021,9.0
Virgin River,0.0143,2005,0.0
Back to Q82,0.0812,2017,4.0
Home Again,1.8251,2017,6.107
Midnight Sun,0.0311,2024,0.0
Rock the Kasbah,1.4398,2015,5.39
Awon Boyz,0.0071,2019,0.0
Brick Mansions,3.0157,2014,5.905
Cat People,3.8587,1942,6.927
Clash,0.2799,2006,2.0
Dogs,0.4271,1976,5.417
Major Grom: Plague Doctor,1.7278,2021,6.6
Mama Drama,0.2012,2020,0.0
Tango With Me,0.1043,2010,0.0
The Mire,0.2101,2023,0.0
The War Next-door,0.5268,2018,4.4
Therapy,0.0655,2018,6.0
This Little Love Of Mine,0.7319,2021,6.063
Three Thieves,0.102,2019,8.0
A Land Imagined,0.5026,2019,5.983
Between,0.3416,2015,7.0
Chelsea,0.0978,2017,0.0
Colony,0.1402,2015,7.0
Cuckoo,2.5715,2010,4.5
Girl from Nowhere,0.5498,2017,4.25
Good Morning Call,0.3391,2001,7.0
Har Kisse Ke Hisse: Kaamyaab,0.2962,2020,6.7
I AM A KILLER,0.1189,1989,0.0
Larva,1.599,2023,0.0
Marcella,0.1517,1937,0.0
My Little Pony: Friendship Is Magic,0.053,2014,3.8
Orange Is the New Black,0.0239,2017,0.0
Puffin Rock,0.3697,2023,6.6
Rehmataan,0.0214,,0.0
Return of the Prodigal Son,0.3303,1976,6.365
Richie Rich,0.3201,2017,4.1
Rise: Ini Kalilah,0.1866,2018,7.5
Scream,17.1558,1996,7.4
Si Doel the Movie 2,0.0744,2019,6.6
Some Assembly Required,0.0256,2008,0.0
Tales by Light,0.2643,2024,0.0
The A List,1.3543,2015,5.8
The Worst Witch,0.9072,1986,6.0
Truckbhar Swapna,0.0992,2018,10.0
Ujala,0.1117,1959,4.4
Undercover,3.4835,1995,5.4
We the People,0.4462,1997,2.8
Grey's Anatomy,0.5048,2018,10.0
Big Timber,0.08,1917,0.0
Fear Street Part 1: 1994,2.5955,2021,6.694
Haseen Dillruba,0.8231,2021,6.737
Holiday on Mars,0.0214,1997,0.0
Mortel,0.0214,2006,0.0
RattleSnake - The Ahanna Story,0.2083,2020,5.0
Snowpiercer,12.625,2013,6.909
The 8th Night,1.7238,2021,6.099
Winchester,1.6328,2018,5.885
6 Bullets,1.2587,2012,6.251
Air Force One,4.4314,1997,6.469
Audible,1.9706,2021,6.823
Austin Powers in Goldmember,4.4671,2002,6.011
Austin Powers: International Man of Mystery,4.8965,1997,6.59
Austin Powers: The Spy Who Shagged Me,4.4495,1999,6.3
Boogie Nights,6.6444,1997,7.629
Charlie's Angels,7.9683,2019,6.39
Congo,3.8902,1995,5.59
Dennis the Menace,3.8404,1993,5.883
Dreamy Eyes,0.4515,2019,6.7
Dynasty Warriors,2.4458,2021,5.892
Hampstead,0.8072,2017,5.995
Kung Fu Panda,12.4147,2008,7.315
Kung Fu Panda 2,9.3873,2011,7.059
Life as We Know It,2.7427,2010,6.902
Mary Magdalene,1.85,2018,6.293
Memoirs of a Geisha,4.384,2005,7.644
Midnight Run,2.3003,1988,7.191
Mobile Suit Gundam Hathaway,3.4925,2021,7.2
Mortal Kombat,6.4531,2021,6.992
Mother's Day,1.081,2010,6.47
No Strings Attached,5.8325,2011,6.295
Not Another Teen Movie,4.8721,2001,5.8
Ophelia,0.154,2018,6.0
Pet Sematary 2,2.2246,1992,5.477
Quarantine Tales,0.1607,2020,6.9
Red Joan,3.1963,2018,6.643
Sailor Moon Crystal,1.7389,2021,7.844
Seven Pounds,4.5326,2008,7.603
She's Out of My League,4.5896,2010,6.481
Snow Day,1.9423,2000,5.1
Star Trek,8.3679,2009,7.4
Stuart Little,4.3764,1999,6.067
Sword of Trust,0.3399,2019,5.9
Talladega Nights: The Ballad of Ricky Bobby,2.3717,2006,6.365
The American,3.8569,2010,5.971
The Best of Enemies,0.9665,2019,7.4
